"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"NIM00065101","ILORIN, NI","2025-01-01","84","98",
"NIM00065101","ILORIN, NI","2025-01-02","89","96",
"NIM00065101","ILORIN, NI","2025-01-03","83","97","68"
"NIM00065101","ILORIN, NI","2025-01-04","83",,"67"
"NIM00065101","ILORIN, NI","2025-01-05","92",,
"NIM00065101","ILORIN, NI","2025-01-06","81",,"67"
"NIM00065101","ILORIN, NI","2025-01-07","83",,
"NIM00065101","ILORIN, NI","2025-01-08","75","95",
"NIM00065101","ILORIN, NI","2025-01-09","83","94","62"
"NIM00065101","ILORIN, NI","2025-01-10","77","92","60"
"NIM00065101","ILORIN, NI","2025-01-11","77",,
"NIM00065101","ILORIN, NI","2025-01-12","79","92",
"NIM00065101","ILORIN, NI","2025-01-13","82",,"59"
"NIM00065101","ILORIN, NI","2025-01-14","82",,
"NIM00065101","ILORIN, NI","2025-01-15","80","95","63"
"NIM00065101","ILORIN, NI","2025-01-16","84","97","63"
"NIM00065101","ILORIN, NI","2025-01-17","80",,"63"
"NIM00065101","ILORIN, NI","2025-01-18","81",,"63"
"NIM00065101","ILORIN, NI","2025-01-19","83",,"65"
"NIM00065101","ILORIN, NI","2025-01-20","86","96",
"NIM00065101","ILORIN, NI","2025-01-21","83","95","68"
"NIM00065101","ILORIN, NI","2025-01-22","83",,
"NIM00065101","ILORIN, NI","2025-01-23","88","98",
"NIM00065101","ILORIN, NI","2025-01-24","84",,
"NIM00065101","ILORIN, NI","2025-01-25","80","96","67"
"NIM00065101","ILORIN, NI","2025-01-26","85",,
"NIM00065101","ILORIN, NI","2025-01-27","86",,
"NIM00065101","ILORIN, NI","2025-01-28","84",,"68"
"NIM00065101","ILORIN, NI","2025-01-29","81",,"67"
"NIM00065101","ILORIN, NI","2025-01-30","83","97","66"
"NIM00065101","ILORIN, NI","2025-01-31","83",,"66"
"NIM00065101","ILORIN, NI","2025-02-01","84",,
"NIM00065101","ILORIN, NI","2025-02-02","86","98","71"
"NIM00065101","ILORIN, NI","2025-02-04","85","100",
"NIM00065101","ILORIN, NI","2025-02-08","86","99","71"
"NIM00065101","ILORIN, NI","2025-02-09","89","98",
"NIM00065101","ILORIN, NI","2025-02-10","85","100",
"NIM00065101","ILORIN, NI","2025-02-11","84",,
"NIM00065101","ILORIN, NI","2025-02-12","83",,
"NIM00065101","ILORIN, NI","2025-02-13","84","99","66"
"NIM00065101","ILORIN, NI","2025-02-14","85","99","63"
"NIM00065101","ILORIN, NI","2025-02-15","86",,
"NIM00065101","ILORIN, NI","2025-02-16","87","100","69"
"NIM00065101","ILORIN, NI","2025-02-17","85","100","68"
"NIM00065101","ILORIN, NI","2025-02-18","82","98","69"
"NIM00065101","ILORIN, NI","2025-02-19","84","97","69"
"NIM00065101","ILORIN, NI","2025-02-20","90","99",
"NIM00065101","ILORIN, NI","2025-02-21","89",,"74"
"NIM00065101","ILORIN, NI","2025-02-22","80",,"73"
"NIM00065101","ILORIN, NI","2025-02-23","85","97",
"NIM00065101","ILORIN, NI","2025-02-24","83",,"70"
"NIM00065101","ILORIN, NI","2025-02-25","91",,
"NIM00065101","ILORIN, NI","2025-02-26","88",,
"NIM00065101","ILORIN, NI","2025-03-01","93","100",
"NIM00065101","ILORIN, NI","2025-03-02","90","101","73"
"NIM00065101","ILORIN, NI","2025-03-03","90",,
"NIM00065101","ILORIN, NI","2025-03-04","89","103",
"NIM00065101","ILORIN, NI","2025-03-05","82",,"72"
"NIM00065101","ILORIN, NI","2025-03-06","89","99",
"NIM00065101","ILORIN, NI","2025-03-07","90","101",
"NIM00065101","ILORIN, NI","2025-03-08","89","101","75"
"NIM00065101","ILORIN, NI","2025-03-09","87",,
"NIM00065101","ILORIN, NI","2025-03-10","86",,"73"
"NIM00065101","ILORIN, NI","2025-03-11","87","100","71"
"NIM00065101","ILORIN, NI","2025-03-12","87","104","72"
"NIM00065101","ILORIN, NI","2025-03-13","85",,"68"
"NIM00065101","ILORIN, NI","2025-03-14","90","100",
"NIM00065101","ILORIN, NI","2025-03-15","90","100","73"
"NIM00065101","ILORIN, NI","2025-03-16","92","103","72"
"NIM00065101","ILORIN, NI","2025-03-17","85","99","70"
"NIM00065101","ILORIN, NI","2025-03-18","91","104","73"
"NIM00065101","ILORIN, NI","2025-03-19","87","101","74"
"NIM00065101","ILORIN, NI","2025-03-20","83","98","70"
"NIM00065101","ILORIN, NI","2025-03-21","87","102","73"
"NIM00065101","ILORIN, NI","2025-03-22","86","97","69"
"NIM00065101","ILORIN, NI","2025-03-23","86","99","68"
"NIM00065101","ILORIN, NI","2025-03-24","86",,"69"
"NIM00065101","ILORIN, NI","2025-03-25","84",,"72"
"NIM00065101","ILORIN, NI","2025-03-26","85","97","75"
"NIM00065101","ILORIN, NI","2025-03-27","90",,
"NIM00065101","ILORIN, NI","2025-03-28","87","101",
"NIM00065101","ILORIN, NI","2025-03-29","87",,
"NIM00065101","ILORIN, NI","2025-03-30","86",,
"NIM00065101","ILORIN, NI","2025-03-31","89",,
"NIM00065101","ILORIN, NI","2025-04-01","87",,"73"
"NIM00065101","ILORIN, NI","2025-04-02","83",,
"NIM00065101","ILORIN, NI","2025-04-03","86",,
"NIM00065101","ILORIN, NI","2025-04-04","88","98",
"NIM00065101","ILORIN, NI","2025-04-05","91",,
"NIM00065101","ILORIN, NI","2025-04-06","88","99",
"NIM00065101","ILORIN, NI","2025-04-07","85","98",
"NIM00065101","ILORIN, NI","2025-04-08","88",,
"NIM00065101","ILORIN, NI","2025-04-09","83","96",
"NIM00065101","ILORIN, NI","2025-04-15","87",,
"NIM00065101","ILORIN, NI","2025-04-16","88","95",
"NIM00065101","ILORIN, NI","2025-04-17","86","94",
"NIM00065101","ILORIN, NI","2025-04-18","87",,
"NIM00065101","ILORIN, NI","2025-04-20","89",,
"NIM00065101","ILORIN, NI","2025-04-21","85",,
"NIM00065101","ILORIN, NI","2025-04-22","83",,
"NIM00065101","ILORIN, NI","2025-04-25","87",,
"NIM00065101","ILORIN, NI","2025-04-26","81",,
"NIM00065101","ILORIN, NI","2025-04-27","83",,
"NIM00065101","ILORIN, NI","2025-04-28","85","94",
"NIM00065101","ILORIN, NI","2025-04-29","82","91",
"NIM00065101","ILORIN, NI","2025-04-30","85",,
"NIM00065101","ILORIN, NI","2025-05-01","79","92",
"NIM00065101","ILORIN, NI","2025-05-02","81","91",
"NIM00065101","ILORIN, NI","2025-05-03","82",,
"NIM00065101","ILORIN, NI","2025-05-04","85","91",
"NIM00065101","ILORIN, NI","2025-05-05","88","92",
"NIM00065101","ILORIN, NI","2025-05-06","84",,
"NIM00065101","ILORIN, NI","2025-05-07","81",,
"NIM00065101","ILORIN, NI","2025-05-08","82",,
"NIM00065101","ILORIN, NI","2025-05-09","82","92",
"NIM00065101","ILORIN, NI","2025-05-10","85",,
"NIM00065101","ILORIN, NI","2025-05-11","86",,
"NIM00065101","ILORIN, NI","2025-05-12","83",,
"NIM00065101","ILORIN, NI","2025-05-13","82","92",
"NIM00065101","ILORIN, NI","2025-05-14","83",,
"NIM00065101","ILORIN, NI","2025-05-15","76","81",
"NIM00065101","ILORIN, NI","2025-05-16","80",,
"NIM00065101","ILORIN, NI","2025-05-17","75","78",
"NIM00065101","ILORIN, NI","2025-05-18","79","88",
"NIM00065101","ILORIN, NI","2025-05-19","82","94",
"NIM00065101","ILORIN, NI","2025-05-20","76","83",
"NIM00065101","ILORIN, NI","2025-05-21","82","91",
"NIM00065101","ILORIN, NI","2025-05-22","80","92",
"NIM00065101","ILORIN, NI","2025-05-23","81","88",
"NIM00065101","ILORIN, NI","2025-05-24","83","90",
"NIM00065101","ILORIN, NI","2025-05-25","83","91",
"NIM00065101","ILORIN, NI","2025-05-26","83",,
"NIM00065101","ILORIN, NI","2025-05-27","81","92",
"NIM00065101","ILORIN, NI","2025-05-28","80","94",
"NIM00065101","ILORIN, NI","2025-05-29","76","81",
"NIM00065101","ILORIN, NI","2025-05-30","82",,
"NIM00065101","ILORIN, NI","2025-05-31","82","91",
"NIM00065101","ILORIN, NI","2025-06-01","80",,
"NIM00065101","ILORIN, NI","2025-06-02","81","90",
"NIM00065101","ILORIN, NI","2025-06-03","78",,
"NIM00065101","ILORIN, NI","2025-06-04","79","88",
"NIM00065101","ILORIN, NI","2025-06-10","87",,
"NIM00065101","ILORIN, NI","2025-06-11","75",,
"NIM00065101","ILORIN, NI","2025-06-12","79","91",
"NIM00065101","ILORIN, NI","2025-06-13","78","91",
